,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag
5986,CHN,2010,Cumulative AIDS cases & deaths,1925,"1,242",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00014650216978884112,🇨🇳
6343,CHN,2010,Cumulative AIDS cases & deaths,4599,993,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00035000700200461316,🇨🇳
6377,CHN,2012,Cumulative AIDS cases & deaths,197096,"60,093",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.014999995665818925,🇨🇳
6389,CHN,2012,Cumulative AIDS cases & deaths,193986,"59,285",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.01476330904345877,🇨🇳
6418,CHN,1998,Cumulative AIDS cases & deaths,42,23,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.1964109772110793e-06,🇨🇳
6491,CHN,2016,Cumulative AIDS cases & deaths,37179,"15,422",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.002829508660041207,🇨🇳
6906,CHN,2012,Cumulative AIDS cases & deaths,181491,"55,530",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.013812376777738476,🇨🇳
6909,CHN,2012,Cumulative AIDS cases & deaths,178002,"54,582",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.013546846351560156,🇨🇳
6962,CHN,2009,Cumulative AIDS cases & deaths,1572,888,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00011963709657561466,🇨🇳
7084,CHN,2001,Cumulative AIDS cases & deaths,2,2,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.522100465338609e-07,🇨🇳
7118,CHN,2012,Cumulative AIDS cases & deaths,205420,"62,785",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.015633493879492855,🇨🇳
7143,CHN,2011,Cumulative AIDS cases & deaths,461,138,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.508441572605494e-05,🇨🇳
7156,CHN,2011,Cumulative AIDS cases & deaths,17,4,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.2937853955378177e-06,🇨🇳
7188,CHN,2011,Cumulative AIDS cases & deaths,48,15,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.6530411168126617e-06,🇨🇳
7234,CHN,2011,Cumulative AIDS cases & deaths,230,42,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.7504155351394005e-05,🇨🇳
7372,CHN,2011,Cumulative AIDS cases & deaths,5,2,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.805251163346523e-07,🇨🇳
7647,CHN,2003,Cumulative AIDS cases & deaths,7,5,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.327351628685132e-07,🇨🇳
7740,CHN,2011,Cumulative AIDS cases & deaths,72,28,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.479561675218993e-06,🇨🇳
7795,CHN,2011,Cumulative AIDS cases & deaths,44,10,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.34862102374494e-06,🇨🇳
7844,CHN,2011,Cumulative AIDS cases & deaths,41,20,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.120305953944149e-06,🇨🇳
7974,CHN,2000,Cumulative AIDS cases & deaths,0,0,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0,🇨🇳
7978,CHN,2002,Cumulative AIDS cases & deaths,7,4,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.327351628685132e-07,🇨🇳
8027,CHN,2011,Cumulative AIDS cases & deaths,918,259,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),6.986441135904216e-05,🇨🇳
8226,CHN,2011,Cumulative AIDS cases & deaths,0,0,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0,🇨🇳
8262,CHN,1995,Cumulative AIDS cases & deaths,77,49,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.8600867915536445e-06,🇨🇳
8346,CHN,2004,Cumulative AIDS cases & deaths,23,8,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.7504155351394006e-06,🇨🇳
8488,COK,2004,Cumulative AIDS cases & deaths,0,0,-1.0,Cook Islands,21388,5000.0,OCEANIA,0.0,🇨🇰
8495,COL,1988,Cumulative AIDS cases & deaths,308,98,-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.0007065348856761178,🇨🇴
8508,COL,1999,Cumulative AIDS cases & deaths,6006,"3,375",-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.013777430270684298,🇨🇴
8518,COL,1995,Cumulative AIDS cases & deaths,6541,"2,867",-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.015004690542881447,🇨🇴
8525,COL,1987,Cumulative AIDS cases & deaths,57,34,-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.00013075483273876205,🇨🇴
8528,COL,1987,Cumulative AIDS cases & deaths,153,53,-1.0,Colombia,43593035,6300.0,LATIN AMER. & CARIB,0.0003509734984040455,🇨🇴
8712,CRI,1995,Cumulative AIDS cases & deaths,898,499,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.022035398468956958,🇨🇷
8715,CRI,1987,Cumulative AIDS cases & deaths,31,18,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0007606874749862646,🇨🇷
8717,CRI,1988,Cumulative AIDS cases & deaths,93,41,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.002282062424958794,🇨🇷
8720,CRI,1987,Cumulative AIDS cases & deaths,27,15,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.0006625342524073919,🇨🇷
8722,CRI,1999,Cumulative AIDS cases & deaths,1277,840,-1.0,Costa Rica,4075261,9100.0,LATIN AMER. & CARIB,0.031335416308305164,🇨🇷
8745,CUB,1995,Cumulative AIDS cases & deaths,440,288,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,0.003865474460634535,🇨🇺
8752,CUB,1987,Cumulative AIDS cases & deaths,4,3,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,3.514067691485941e-05,🇨🇺
8755,CUB,1988,Cumulative AIDS cases & deaths,43,11,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,0.00037776227683473864,🇨🇺
8758,CUB,1986,Cumulative AIDS cases & deaths,3,3,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,2.6355507686144556e-05,🇨🇺
8764,CUB,1999,Cumulative AIDS cases & deaths,889,578,-1.0,Cuba,11382820,2900.0,LATIN AMER. & CARIB,0.007810015444327504,🇨🇺
8796,CYM,1989,Cumulative AIDS cases & deaths,5,5,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.011004489831851396,🇰🇾
8800,CYM,1999,Cumulative AIDS cases & deaths,26,19,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.05722334712562725,🇰🇾
8804,CYM,1995,Cumulative AIDS cases & deaths,18,16,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.039616163394665026,🇰🇾
8808,CYM,1986,Cumulative AIDS cases & deaths,2,2,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.004401795932740558,🇰🇾
8813,CYM,1987,Cumulative AIDS cases & deaths,2,2,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.004401795932740558,🇰🇾
8814,CYM,1988,Cumulative AIDS cases & deaths,4,2,-1.0,Cayman Islands,45436,35000.0,LATIN AMER. & CARIB,0.008803591865481117,🇰🇾
8842,CZE,2009,Cumulative AIDS cases & deaths,292,156,-1.0,Czech Republic,10235455,15700.0,EASTERN EUROPE,0.00285282872134165,🇨🇿
8940,DMA,1989,Cumulative AIDS cases & deaths,10,4,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.014511681903932667,🇩🇲
8941,DMA,1988,Cumulative AIDS cases & deaths,6,6,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0087070091423596,🇩🇲
8947,DMA,1998,Cumulative AIDS cases & deaths,97,94,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.14076331446814686,🇩🇲
8948,DMA,1995,Cumulative AIDS cases & deaths,31,11,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.04498621390219126,🇩🇲
8949,DMA,1987,Cumulative AIDS cases & deaths,5,3,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.007255840951966333,🇩🇲
8954,DMA,1987,Cumulative AIDS cases & deaths,3,3,-1.0,Dominica,68910,5400.0,LATIN AMER. & CARIB,0.0043535045711798,🇩🇲
8977,DOM,1988,Cumulative AIDS cases & deaths,701,65,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0076328530189076985,🇩🇴
8992,DOM,1986,Cumulative AIDS cases & deaths,200,35,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0021777041423417113,🇩🇴
9001,DOM,2000,Cumulative AIDS cases & deaths,4965,989,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.054061505333632985,🇩🇴
9009,DOM,1987,Cumulative AIDS cases & deaths,200,35,-1.0,Dominican Republic,9183984,6000.0,LATIN AMER. & CARIB,0.0021777041423417113,🇩🇴
