,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country_x,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag,Country,Alpha-3 code,Latitude (average),Longitude (average)
43,BRB,1989,Cumulative AIDS cases & deaths,111,81,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.0396553202435051,🇧🇧,Barbados,BRB,13.1667,-59.5333
44,BRN,1995,Cumulative AIDS cases & deaths,6,4,-1.0,Brunei,379444,18600.0,ASIA (EX. NEAR EAST),0.0015812610029411,🇧🇳,Brunei Darussalam,BRN,4.5,114.6667
45,BRN,1995,Cumulative AIDS cases & deaths,6,4,-1.0,Brunei,379444,18600.0,ASIA (EX. NEAR EAST),0.0015812610029411,🇧🇳,Brunei,BRN,4.5,114.6667
46,BWA,1987,Cumulative AIDS cases & deaths,13,4,-1.0,Botswana,1639833,9000.0,SUB-SAHARAN AFRICA,0.000792763653372,🇧🇼,Botswana,BWA,-22.0,24.0
47,CHL,1995,Cumulative AIDS cases & deaths,1363,836,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0084478833465691,🇨🇱,Chile,CHL,-30.0,-71.0
48,CHL,1987,Cumulative AIDS cases & deaths,28,17,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0001735441920058,🇨🇱,Chile,CHL,-30.0,-71.0
49,CHL,1988,Cumulative AIDS cases & deaths,123,48,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0007623548434541,🇨🇱,Chile,CHL,-30.0,-71.0
50,CHL,1999,Cumulative AIDS cases & deaths,3127,"1,631",-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.019381167442936,🇨🇱,Chile,CHL,-30.0,-71.0
51,CHL,1987,Cumulative AIDS cases & deaths,57,27,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0003532863908689,🇨🇱,Chile,CHL,-30.0,-71.0
52,CHL,1987,Cumulative AIDS cases & deaths,42,22,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0002603162880087,🇨🇱,Chile,CHL,-30.0,-71.0
53,CHN,2012,Cumulative AIDS cases & deaths,184276,"56,336",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0140243292675368,🇨🇳,China,CHN,35.0,105.0
54,CHN,2016,Cumulative AIDS cases & deaths,54360,"14,091",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0041370690647903,🇨🇳,China,CHN,35.0,105.0
55,CHN,2015,Cumulative AIDS cases & deaths,50330,"12,755",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0038303658210246,🇨🇳,China,CHN,35.0,105.0
56,CHN,2014,Cumulative AIDS cases & deaths,45145,"12,030",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0034357612753855,🇨🇳,China,CHN,35.0,105.0
57,CHN,2012,Cumulative AIDS cases & deaths,202163,"61,741",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0153856198187124,🇨🇳,China,CHN,35.0,105.0
58,CHN,2012,Cumulative AIDS cases & deaths,41604,"11,439",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0031662733879973,🇨🇳,China,CHN,35.0,105.0
59,CHN,2013,Cumulative AIDS cases & deaths,63498,"10,974",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0048325167674035,🇨🇳,China,CHN,35.0,105.0
60,CHN,2012,Cumulative AIDS cases & deaths,187079,"57,319",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.014237651647754,🇨🇳,China,CHN,35.0,105.0
