,name,value,ranking,region,country_code,Country,Alpha-3 code,Latitude,Longitude
98,Honduras,0.2,100,Central America,HND,Honduras,HND,15.0,-86.5
99,India,0.2,101,South Asia,IND,India,IND,20.0,77.0
100,Ireland,0.2,102,Europe,IRL,Ireland,IRL,53.0,-8.0
101,Israel,0.2,103,Middle East,ISR,Israel,ISR,31.5,34.75
102,Italy,0.2,104,Europe,ITA,Italy,ITA,42.8333,12.8333
103,Kyrgyzstan,0.2,105,Central Asia,KGZ,Kyrgyzstan,KGZ,41.0,75.0
104,Netherlands,0.2,106,Europe,NLD,Netherlands,NLD,52.5,5.75
105,Nicaragua,0.2,107,Central America,NIC,Nicaragua,NIC,13.0,-85.0
106,Niger,0.2,108,Africa,NGA,Nigeria,NGA,10.0,8.0
107,Pakistan,0.2,109,South Asia,PAK,Pakistan,PAK,30.0,70.0
108,Philippines,0.2,110,East Asia/Southeast Asia,PHL,Philippines,PHL,13.0,122.0
109,Singapore,0.2,111,East Asia/Southeast Asia,SGP,Singapore,SGP,1.3667,103.8
110,Sudan,0.2,112,Africa,SDN,Sudan,SDN,15.0,30.0
111,Sweden,0.2,113,Europe,SWE,Sweden,SWE,62.0,15.0
112,Switzerland,0.2,114,Europe,CHE,Switzerland,CHE,47.0,8.0
113,Tajikistan,0.2,115,Central Asia,TJK,Tajikistan,TJK,39.0,71.0
114,Timor-Leste,0.2,116,East Asia/Southeast Asia,TLS,Timor-Leste,TLS,-8.55,125.5167
115,Uzbekistan,0.2,117,Central Asia,UZB,Uzbekistan,UZB,41.0,64.0
116,Australia,0.1,118,Australia - Oceania,AUS,Australia,AUS,-27.0,133.0
117,Austria,0.1,119,Europe,AUT,Austria,AUT,47.3333,13.3333
118,Azerbaijan,0.1,120,Middle East,AZE,Azerbaijan,AZE,40.5,47.5
119,Cyprus,0.1,121,Europe,CYP,Cyprus,CYP,35.0,33.0
120,Denmark,0.1,122,Europe,DNK,Denmark,DNK,56.0,10.0
121,Finland,0.1,123,Europe,FIN,Finland,FIN,64.0,26.0
122,Germany,0.1,124,Europe,DEU,Germany,DEU,51.0,9.0
123,Iceland,0.1,125,Europe,ISL,Iceland,ISL,65.0,-18.0
124,Libya,0.1,126,Africa,LBY,Libyan Arab Jamahiriya,LBY,25.0,17.0
125,Lithuania,0.1,127,Europe,LTU,Lithuania,LTU,56.0,24.0
126,Malta,0.1,128,Europe,MLT,Malta,MLT,35.8333,14.5833
127,Nepal,0.1,129,South Asia,NPL,Nepal,NPL,28.0,84.0
128,Norway,0.1,130,Europe,NOR,Norway,NOR,62.0,10.0
129,Oman,0.1,131,Middle East,OMN,Oman,OMN,21.0,57.0
130,Romania,0.1,132,Europe,ROU,Romania,ROU,46.0,25.0
131,United Arab Emirates,0.1,133,Middle East,ARE,United Arab Emirates,ARE,24.0,54.0
